variant,exit_reason,count,share,family,stop_mode,cap_days,take_profit_pct,trail_giveback_pct,partial_take_profit_pct
FIXEDTP_FIXED3_TP10_CAP3D,TARGET,1032,0.2625286186720936,FIXED_TP,FIXED3,3,0.1,,
FIXEDTP_FIXED3_TP10_CAP4D,STOP,2898,0.7372169931315187,FIXED_TP,FIXED3,4,0.1,,
FIXEDTP_FIXED3_TP10_CAP4D,STOP_AMBIGUOUS,1,0.0002543881963876876,FIXED_TP,FIXED3,4,0.1,,
FIXEDTP_FIXED3_TP10_CAP4D,TARGET,1032,0.2625286186720936,FIXED_TP,FIXED3,4,0.1,,
FIXEDTP_FIXED3_TP10_CAP5D,STOP,2898,0.7372169931315187,FIXED_TP,FIXED3,5,0.1,,
FIXEDTP_FIXED3_TP10_CAP5D,STOP_AMBIGUOUS,1,0.0002543881963876876,FIXED_TP,FIXED3,5,0.1,,
FIXEDTP_FIXED3_TP10_CAP5D,TARGET,1032,0.2625286186720936,FIXED_TP,FIXED3,5,0.1,,
FIXEDTP_FIXED3_TP10_CAP6D,STOP,2898,0.7372169931315187,FIXED_TP,FIXED3,6,0.1,,
FIXEDTP_FIXED3_TP10_CAP6D,STOP_AMBIGUOUS,1,0.0002543881963876876,FIXED_TP,FIXED3,6,0.1,,
FIXEDTP_FIXED3_TP10_CAP6D,TARGET,1032,0.2625286186720936,FIXED_TP,FIXED3,6,0.1,,
FIXEDTP_FIXED3_TP10_CAP7D,STOP,2898,0.7372169931315187,FIXED_TP,FIXED3,7,0.1,,
FIXEDTP_FIXED3_TP10_CAP7D,STOP_AMBIGUOUS,1,0.0002543881963876876,FIXED_TP,FIXED3,7,0.1,,
FIXEDTP_FIXED3_TP10_CAP7D,TARGET,1032,0.2625286186720936,FIXED_TP,FIXED3,7,0.1,,
FIXEDTP_FIXED3_TP20_CAP1D,STOP,3274,0.8335030549898167,FIXED_TP,FIXED3,1,0.2,,
FIXEDTP_FIXED3_TP20_CAP1D,TARGET,654,0.1664969450101833,FIXED_TP,FIXED3,1,0.2,,
FIXEDTP_FIXED3_TP20_CAP2D,STOP,3274,0.8335030549898167,FIXED_TP,FIXED3,2,0.2,,
FIXEDTP_FIXED3_TP20_CAP2D,TARGET,654,0.1664969450101833,FIXED_TP,FIXED3,2,0.2,,
FIXEDTP_FIXED3_TP20_CAP30D,STOP,3274,0.8335030549898167,FIXED_TP,FIXED3,30,0.2,,
FIXEDTP_FIXED3_TP20_CAP30D,TARGET,654,0.1664969450101833,FIXED_TP,FIXED3,30,0.2,,
FIXEDTP_FIXED3_TP20_CAP3D,STOP,3274,0.8335030549898167,FIXED_TP,FIXED3,3,0.2,,
FIXEDTP_FIXED3_TP20_CAP3D,TARGET,654,0.1664969450101833,FIXED_TP,FIXED3,3,0.2,,
FIXEDTP_FIXED3_TP20_CAP4D,STOP,3274,0.8335030549898167,FIXED_TP,FIXED3,4,0.2,,
FIXEDTP_FIXED3_TP20_CAP4D,TARGET,654,0.1664969450101833,FIXED_TP,FIXED3,4,0.2,,
FIXEDTP_FIXED3_TP20_CAP5D,STOP,3274,0.8335030549898167,FIXED_TP,FIXED3,5,0.2,,
FIXEDTP_FIXED3_TP20_CAP5D,TARGET,654,0.1664969450101833,FIXED_TP,FIXED3,5,0.2,,
FIXEDTP_FIXED3_TP20_CAP6D,STOP,3274,0.8335030549898167,FIXED_TP,FIXED3,6,0.2,,
FIXEDTP_FIXED3_TP20_CAP6D,TARGET,654,0.1664969450101833,FIXED_TP,FIXED3,6,0.2,,
FIXEDTP_FIXED3_TP20_CAP7D,STOP,3274,0.8335030549898167,FIXED_TP,FIXED3,7,0.2,,
FIXEDTP_FIXED3_TP20_CAP7D,TARGET,654,0.1664969450101833,FIXED_TP,FIXED3,7,0.2,,
FIXEDTP_FIXED5_TP10_CAP1D,STOP,2469,0.6285641547861507,FIXED_TP,FIXED5,1,0.1,,
FIXEDTP_FIXED5_TP10_CAP1D,TARGET,1459,0.3714358452138493,FIXED_TP,FIXED5,1,0.1,,
FIXEDTP_FIXED5_TP10_CAP2D,STOP,2469,0.6285641547861507,FIXED_TP,FIXED5,2,0.1,,
FIXEDTP_FIXED5_TP10_CAP2D,TARGET,1459,0.3714358452138493,FIXED_TP,FIXED5,2,0.1,,
FIXEDTP_FIXED5_TP10_CAP30D,STOP,2469,0.6285641547861507,FIXED_TP,FIXED5,30,0.1,,
FIXEDTP_FIXED5_TP10_CAP30D,TARGET,1459,0.3714358452138493,FIXED_TP,FIXED5,30,0.1,,
FIXEDTP_FIXED5_TP10_CAP3D,STOP,2469,0.6285641547861507,FIXED_TP,FIXED5,3,0.1,,
