variant,year,trades,combined_pnl_usdt,mean_pnl_usdt,win_rate,family,stop_mode,cap_days,take_profit_pct,trail_giveback_pct,partial_take_profit_pct
FIXEDTP_STRUCT_CAP10_TP20_CAP7D,2025,734,-2204.948869403009,-3.0040175332466066,0.26975476839237056,FIXED_TP,STRUCT_CAP10,7,0.2,,
TIME_STRUCT_CAP10_CAP30D,2025,726,-18823.218075913956,-25.927297625225833,0.0,TIME_ONLY,STRUCT_CAP10,30,,,
FIXEDTP_STRUCT_CAP10_TP10_CAP30D,2025,734,-2345.9893743032967,-3.196170809677516,0.4141689373297003,FIXED_TP,STRUCT_CAP10,30,0.1,,
FIXEDTP_STRUCT_CAP10_TP20_CAP30D,2025,734,-2204.948869403009,-3.0040175332466066,0.26975476839237056,FIXED_TP,STRUCT_CAP10,30,0.2,,
FULL_TRAIL_FIXED5_GB30_CAP7D,2025,734,-393.49705468223505,-0.5360995295398298,0.08991825613079019,FULL_TRAIL,FIXED5,7,,0.3,
FULL_TRAIL_FIXED5_GB30_CAP30D,2025,734,-393.49705468223505,-0.5360995295398298,0.08991825613079019,FULL_TRAIL,FIXED5,30,,0.3,
FULL_TRAIL_FIXED5_GB30_CAP90D,2025,734,-393.49705468223505,-0.5360995295398298,0.08991825613079019,FULL_TRAIL,FIXED5,90,,0.3,
FULL_TRAIL_FIXED5_GB30_CAP180D,2025,734,-393.49705468223505,-0.5360995295398298,0.08991825613079019,FULL_TRAIL,FIXED5,180,,0.3,
FULL_TRAIL_FIXED5_GB30_CAP365D,2025,734,-393.49705468223505,-0.5360995295398298,0.08991825613079019,FULL_TRAIL,FIXED5,365,,0.3,
HALF_TP_RUNNER_FIXED5_PT10_GB30_CAP7D,2025,734,-862.2476718851284,-1.174724348617341,0.3242506811989101,HALF_TP_RUNNER,FIXED5,7,,0.3,0.1
