variant,trades,combined_pnl_usdt,mean_pnl_usdt,median_pnl_usdt,profit_factor,win_rate,median_duration_hours,p10_pnl_usdt,p90_pnl_usdt,family,stop_mode,cap_days,take_profit_pct,trail_giveback_pct,partial_take_profit_pct,positive_years,years_tested,worst_year_pnl_usdt,best_year_pnl_usdt,leader_metric,leader_rank
FIXEDTP_FIXED3_TP20_CAP1D,3928.0,6813.93308700003,1.7347080160387043,-9.73635449999997,1.2137582135438298,0.1664969450101833,40.0,-9.736354500000028,59.16018,FIXED_TP,FIXED3,1,0.2,,,6,8,-241.63103099999628,2610.2891190000023,profit_factor,1
FIXEDTP_FIXED3_TP20_CAP2D,3928.0,6813.93308700003,1.7347080160387043,-9.73635449999997,1.2137582135438298,0.1664969450101833,40.0,-9.736354500000028,59.16018,FIXED_TP,FIXED3,2,0.2,,,6,8,-241.63103099999628,2610.2891190000023,profit_factor,2
FIXEDTP_FIXED3_TP20_CAP3D,3928.0,6813.93308700003,1.7347080160387043,-9.73635449999997,1.2137582135438298,0.1664969450101833,40.0,-9.736354500000028,59.16018,FIXED_TP,FIXED3,3,0.2,,,6,8,-241.63103099999628,2610.2891190000023,profit_factor,3
FIXEDTP_FIXED3_TP20_CAP4D,3928.0,6813.93308700003,1.7347080160387043,-9.73635449999997,1.2137582135438298,0.1664969450101833,40.0,-9.736354500000028,59.16018,FIXED_TP,FIXED3,4,0.2,,,6,8,-241.63103099999628,2610.2891190000023,profit_factor,4
FIXEDTP_FIXED3_TP20_CAP5D,3928.0,6813.93308700003,1.7347080160387043,-9.73635449999997,1.2137582135438298,0.1664969450101833,40.0,-9.736354500000028,59.16018,FIXED_TP,FIXED3,5,0.2,,,6,8,-241.63103099999628,2610.2891190000023,profit_factor,5
FIXEDTP_FIXED3_TP20_CAP6D,3928.0,6813.93308700003,1.7347080160387043,-9.73635449999997,1.2137582135438298,0.1664969450101833,40.0,-9.736354500000028,59.16018,FIXED_TP,FIXED3,6,0.2,,,6,8,-241.63103099999628,2610.2891190000023,profit_factor,6
FIXEDTP_FIXED3_TP20_CAP7D,3928.0,6813.93308700003,1.7347080160387043,-9.73635449999997,1.2137582135438298,0.1664969450101833,40.0,-9.736354500000028,59.16018,FIXED_TP,FIXED3,7,0.2,,,6,8,-241.63103099999628,2610.2891190000023,profit_factor,7
FIXEDTP_FIXED3_TP20_CAP30D,3928.0,6813.93308700003,1.7347080160387043,-9.73635449999997,1.2137582135438298,0.1664969450101833,40.0,-9.736354500000028,59.16018,FIXED_TP,FIXED3,30,0.2,,,6,8,-241.63103099999628,2610.2891190000023,profit_factor,8
FIXEDTP_FIXED10_TP20_CAP1D,3905.0,15524.12499000007,3.975448140845088,-30.704864999999934,1.210838908731819,0.38591549295774646,200.0,-30.70486499999999,59.160180000000054,FIXED_TP,FIXED10,1,0.2,,,5,8,-2048.140649999986,7754.569785000012,profit_factor,9
FIXEDTP_FIXED10_TP20_CAP2D,3905.0,15524.12499000007,3.975448140845088,-30.704864999999934,1.210838908731819,0.38591549295774646,200.0,-30.70486499999999,59.160180000000054,FIXED_TP,FIXED10,2,0.2,,,5,8,-2048.140649999986,7754.569785000012,profit_factor,10
FIXEDTP_FIXED10_TP20_CAP1D,3905.0,15524.12499000007,3.975448140845088,-30.704864999999934,1.210838908731819,0.38591549295774646,200.0,-30.70486499999999,59.160180000000054,FIXED_TP,FIXED10,1,0.2,,,5,8,-2048.140649999986,7754.569785000012,mean_pnl,1
FIXEDTP_FIXED10_TP20_CAP2D,3905.0,15524.12499000007,3.975448140845088,-30.704864999999934,1.210838908731819,0.38591549295774646,200.0,-30.70486499999999,59.160180000000054,FIXED_TP,FIXED10,2,0.2,,,5,8,-2048.140649999986,7754.569785000012,mean_pnl,2
