signal_id,symbol,signal_time,stage,entry_time,raw_entry_open,entry_price,structural_support,round3h_initial_stop,round3h_initial_stop_pct,upgraded_to_attempt_within_72h,hours_to_attempt_upgrade,base_range_120h,range_24h,range_72h,atr24_pct,atr120_pct,distance_to_resistance,resistance_168h,rs_24h,rs_72h,volume_ratio_6h,trade_ratio_6h,volume_ratio_current,trade_ratio_current,taker_buy_6h,taker_buy_current,quote_volume_24h,ret_24h,ret_72h,prior_30d_return,distance_from_30d_high
EB1:BNBUSDT:2019-01-08T08:00:00+00:00,BNBUSDT,2019-01-08 08:00:00+00:00,BREAKOUT_ATTEMPT,2019-01-08 09:00:00+00:00,6.4896,6.4928448,5.7402,5.843560320000001,-0.09999999999999987,False,,0.11299257865579593,0.04783470138692336,0.07940798810569705,0.009171164225134929,0.008249550244153173,0.015057600801402504,6.3888,0.0524061098618549,0.03483031757307531,1.5467291545175446,1.146576604237028,4.878577065169405,3.044470371507522,0.5576479677738863,0.5633951159257016,13172643.719466,0.0406637139739392,0.07887338002628552,,
EB1:VETUSDT:2019-01-08T13:00:00+00:00,VETUSDT,2019-01-08 13:00:00+00:00,PRE_BREAKOUT,2019-01-08 14:00:00+00:00,0.004294,0.004296147,0.003899,0.003879505,-0.09698038730983838,True,30.0,0.11567068479097187,0.05905806130077251,0.09571788413098248,0.012039192859914602,0.010795498641831587,-0.01264367816091938,0.00435,0.02028318618311209,0.003844457841265969,1.5739900856715294,1.6326849116548687,1.6892899649603264,1.5611169945933896,0.5171371117680165,0.7334164634396528,1348693.047918,0.03195579048534358,0.06522817460317465,,
EB1:XRPUSDT:2019-01-10T00:00:00+00:00,XRPUSDT,2019-01-10 00:00:00+00:00,BREAKOUT_ATTEMPT,2019-01-10 01:00:00+00:00,0.3745,0.37468724999999997,0.345,0.343275,-0.08383591915657651,False,,0.07878260869565223,0.03197763801537379,0.04987306064880115,0.0082487761459724,0.00895327102803739,0.006233542909344969,0.37218,0.032408258317243366,0.04021813891356585,1.4109707648727752,1.252838966295271,2.324734910640776,1.6868274755181316,0.5604843614856132,0.7045474954852134,25355019.339402,0.040480093351484836,0.03513087702811024,,
EB1:VETUSDT:2019-01-17T11:00:00+00:00,VETUSDT,2019-01-17 11:00:00+00:00,PRE_BREAKOUT,2019-01-17 12:00:00+00:00,0.00408,0.00408204,0.00361,0.003673836,-0.09999999999999998,False,,0.12880886426592797,0.06871230002622597,0.10373781148429018,0.013555691554467564,0.012056303549571608,-0.013285024154589209,0.00414,0.06174911751229861,0.06841972846732669,1.929849114242962,1.6061630549243473,1.677409862291326,1.6281106246189658,0.6207617837839714,0.6421334254439593,1462001.530921,0.059113300492610765,0.09458735262593776,,
EB1:BNBUSDT:2019-01-17T23:00:00+00:00,BNBUSDT,2019-01-17 23:00:00+00:00,BREAKOUT_ATTEMPT,2019-01-18 00:00:00+00:00,6.3152,6.3183576,5.3733,5.68652184,-0.09999999999999998,False,,0.16315858038821562,0.048587343131333505,0.10422077348456749,0.013857495864023862,0.011856552756088047,0.012256000000000045,6.25,0.03187814390269672,0.04701104890943042,1.945198684261705,1.1977594523105648,2.633164427709762,1.8462112960946009,0.6010961212150834,0.5498511999251017,14193314.652338,0.03866296728012997,0.04428635095653899,,
EB1:LTCUSDT:2019-01-19T12:00:00+00:00,LTCUSDT,2019-01-19 12:00:00+00:00,PRE_BREAKOUT,2019-01-19 13:00:00+00:00,32.35,32.366175,29.8,29.651,-0.08388927638190169,False,,0.10469798657718132,0.0861101946552294,0.10469798657718132,0.011134280712593973,0.013170631242920412,-0.01670716889428936,32.92,0.027290107187808443,0.0016644687909042055,1.6780915370473803,1.4991469517743403,0.9886671962064475,0.9970427661510464,0.5122834210629392,0.4832238490492755,5079553.2809875,0.05611745513866229,0.024043024359379883,,
EB1:ADAUSDT:2019-01-19T13:00:00+00:00,ADAUSDT,2019-01-19 13:00:00+00:00,PRE_BREAKOUT,2019-01-19 14:00:00+00:00,0.04549,0.045512745,0.03971,0.0409614705,-0.09999999999999998,False,,0.15764291110551487,0.06609461966604813,0.06906976744186055,0.01019678979771327,0.014185722661975942,-0.010659125516641277,0.04597,0.007833422946828428,0.010694786945253831,1.075399642774148,1.0905754101770397,0.3631559877376093,0.44662498623566976,0.5569698862070988,0.5553189459718804,4038418.9860839997,0.03551912568306004,0.0369357045143639,,
EB1:VETUSDT:2019-01-21T16:00:00+00:00,VETUSDT,2019-01-21 16:00:00+00:00,PRE_BREAKOUT,2019-01-21 17:00:00+00:00,0.004134,0.004136066999999999,0.003813,0.003793935,-0.08271916291491399,False,,0.1277209546289011,0.07636363636363641,0.1035386631716908,0.011449766166747293,0.012195613610707947,-0.03860465116279077,0.0043,0.05768655943244605,0.055824139441873255,1.410549263985058,1.1489921121822961,2.3007628476847595,1.995617879053462,0.6055950262636014,0.6956943816977633,1559523.908104,0.060271864580661694,0.04078549848942603,,
EB1:BNBUSDT:2019-01-23T18:00:00+00:00,BNBUSDT,2019-01-23 18:00:00+00:00,PRE_BREAKOUT,2019-01-23 19:00:00+00:00,6.5074,6.510653699999999,6.2401,6.2088995,-0.04634775767600707,True,63.0,0.06408551145013708,0.020312499999999956,0.04479999999999995,0.006109412451601013,0.009463923544957275,-0.019819277108433675,6.64,0.008095029673295895,-0.0014672564478281913,1.2866610783686812,1.0853335058549525,1.76608879616312,0.9704341075240992,0.5819101070537048,0.46198922192440395,12397620.480634,0.0034071812897953357,0.012208588002923904,,
EB1:LTCUSDT:2019-01-26T12:00:00+00:00,LTCUSDT,2019-01-26 12:00:00+00:00,PRE_BREAKOUT,2019-01-26 13:00:00+00:00,33.32,33.33666,29.48,30.002994,-0.09999999999999998,False,,0.15162822252374508,0.0652651396297459,0.09906118484946602,0.009594215951165826,0.009716801761232864,-0.018851251840942607,33.95,0.02376116463915867,0.04151995477446069,1.295470383734529,1.4963502314264283,0.6667835427730874,0.9497082014599074,0.5000024485194204,0.5240019860255835,5547249.4935244,0.03415088481837936,0.04616834170854278,,
