variant,family,signal_id,symbol,stage,year,duration_hours,exit_reason,pnl_usdt
FIXEDTP_FIXED7_TP20_CAP30D,FIXED_TP,EB1:SOLUSDT:2021-07-06T08:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,63.0,STOP,-21.7183605
TIME_STRUCT_CAP10_CAP7D,TIME_ONLY,EB1:SOLUSDT:2021-07-06T08:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,107.0,STOP,-30.70486499999999
FULL_TRAIL_FIXED7_GB30_CAP30D,FULL_TRAIL,EB1:SOLUSDT:2021-07-06T08:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,44.0,RUNNER_STOP,-0.7498500000000341
FULL_TRAIL_FIXED7_GB40_CAP30D,FULL_TRAIL,EB1:SOLUSDT:2021-07-06T08:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,44.0,RUNNER_STOP,-0.7498500000000341
HALF_TP_RUNNER_FIXED7_PT10_GB40_CAP30D,HALF_TP_RUNNER,EB1:SOLUSDT:2021-07-06T08:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,63.0,INITIAL_STOP,-21.7183605
HALF_TP_RUNNER_FIXED7_PT20_GB40_CAP30D,HALF_TP_RUNNER,EB1:SOLUSDT:2021-07-06T08:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,63.0,INITIAL_STOP,-21.7183605
FULL_TRAIL_FIXED7_GB60_CAP30D,FULL_TRAIL,EB1:SOLUSDT:2021-07-06T08:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,44.0,RUNNER_STOP,-0.7498500000000341
HALF_TP_RUNNER_FIXED7_PT10_GB60_CAP365D,HALF_TP_RUNNER,EB1:SOLUSDT:2021-07-06T08:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,63.0,INITIAL_STOP,-21.7183605
HALF_TP_RUNNER_FIXED7_PT20_GB60_CAP365D,HALF_TP_RUNNER,EB1:SOLUSDT:2021-07-06T08:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,63.0,INITIAL_STOP,-21.7183605
FULL_TRAIL_STRUCT_CAP10_GB60_CAP365D,FULL_TRAIL,EB1:SOLUSDT:2021-07-06T08:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,44.0,RUNNER_STOP,-0.7498500000000341
TIME_FIXED5_CAP7D,TIME_ONLY,EB1:SOLUSDT:2021-07-29T18:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,7638.0,STOP,-15.727357499999984
FIXEDTP_FIXED5_TP10_CAP7D,FIXED_TP,EB1:SOLUSDT:2021-07-29T18:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,32.0,TARGET,29.205165000000036
FIXEDTP_FIXED5_TP20_CAP7D,FIXED_TP,EB1:SOLUSDT:2021-07-29T18:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,52.0,TARGET,59.160180000000054
TIME_FIXED7_CAP7D,TIME_ONLY,EB1:SOLUSDT:2021-07-29T18:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,7639.0,STOP,-21.718360499999942
FIXEDTP_FIXED7_TP10_CAP7D,FIXED_TP,EB1:SOLUSDT:2021-07-29T18:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,32.0,TARGET,29.205165000000036
FIXEDTP_FIXED7_TP20_CAP7D,FIXED_TP,EB1:SOLUSDT:2021-07-29T18:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,52.0,TARGET,59.160180000000054
TIME_FIXED7_CAP30D,TIME_ONLY,EB1:SOLUSDT:2021-07-29T18:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,7639.0,STOP,-21.718360499999942
FIXEDTP_FIXED7_TP10_CAP30D,FIXED_TP,EB1:SOLUSDT:2021-07-29T18:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,32.0,TARGET,29.205165000000036
FIXEDTP_FIXED7_TP20_CAP30D,FIXED_TP,EB1:SOLUSDT:2021-07-29T18:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,52.0,TARGET,59.160180000000054
TIME_STRUCT_CAP10_CAP7D,TIME_ONLY,EB1:SOLUSDT:2021-07-29T18:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,7644.0,STOP,-30.70486499999999
FULL_TRAIL_FIXED7_GB30_CAP30D,FULL_TRAIL,EB1:SOLUSDT:2021-07-29T18:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,13.0,RUNNER_STOP,-0.7498499999999773
FULL_TRAIL_FIXED7_GB40_CAP30D,FULL_TRAIL,EB1:SOLUSDT:2021-07-29T18:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,13.0,RUNNER_STOP,-0.7498499999999773
HALF_TP_RUNNER_FIXED7_PT10_GB40_CAP30D,HALF_TP_RUNNER,EB1:SOLUSDT:2021-07-29T18:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,246.0,RUNNER_STOP,43.72981396899484
HALF_TP_RUNNER_FIXED7_PT20_GB40_CAP30D,HALF_TP_RUNNER,EB1:SOLUSDT:2021-07-29T18:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,246.0,RUNNER_STOP,58.70732146899485
FULL_TRAIL_FIXED7_GB60_CAP30D,FULL_TRAIL,EB1:SOLUSDT:2021-07-29T18:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,13.0,RUNNER_STOP,-0.7498499999999773
HALF_TP_RUNNER_FIXED7_PT10_GB60_CAP365D,HALF_TP_RUNNER,EB1:SOLUSDT:2021-07-29T18:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,4206.0,RUNNER_STOP,464.99311164472016
HALF_TP_RUNNER_FIXED7_PT20_GB60_CAP365D,HALF_TP_RUNNER,EB1:SOLUSDT:2021-07-29T18:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,4206.0,RUNNER_STOP,479.97061914472016
FULL_TRAIL_STRUCT_CAP10_GB60_CAP365D,FULL_TRAIL,EB1:SOLUSDT:2021-07-29T18:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,13.0,RUNNER_STOP,-0.7498499999999773
TIME_FIXED5_CAP7D,TIME_ONLY,EB1:SOLUSDT:2021-08-10T12:00:00+00:00,SOLUSDT,BREAKOUT_ATTEMPT,2021,3.0,STOP,-15.727357500000041
FIXEDTP_FIXED5_TP10_CAP7D,FIXED_TP,EB1:SOLUSDT:2021-08-10T12:00:00+00:00,SOLUSDT,BREAKOUT_ATTEMPT,2021,3.0,STOP,-15.727357500000041
FIXEDTP_FIXED5_TP20_CAP7D,FIXED_TP,EB1:SOLUSDT:2021-08-10T12:00:00+00:00,SOLUSDT,BREAKOUT_ATTEMPT,2021,3.0,STOP,-15.727357500000041
TIME_FIXED7_CAP7D,TIME_ONLY,EB1:SOLUSDT:2021-08-10T12:00:00+00:00,SOLUSDT,BREAKOUT_ATTEMPT,2021,6594.0,STOP,-21.7183605
FIXEDTP_FIXED7_TP10_CAP7D,FIXED_TP,EB1:SOLUSDT:2021-08-10T12:00:00+00:00,SOLUSDT,BREAKOUT_ATTEMPT,2021,109.0,TARGET,29.205165000000036
FIXEDTP_FIXED7_TP20_CAP7D,FIXED_TP,EB1:SOLUSDT:2021-08-10T12:00:00+00:00,SOLUSDT,BREAKOUT_ATTEMPT,2021,124.0,TARGET,59.160180000000054
TIME_FIXED7_CAP30D,TIME_ONLY,EB1:SOLUSDT:2021-08-10T12:00:00+00:00,SOLUSDT,BREAKOUT_ATTEMPT,2021,6594.0,STOP,-21.7183605
FIXEDTP_FIXED7_TP10_CAP30D,FIXED_TP,EB1:SOLUSDT:2021-08-10T12:00:00+00:00,SOLUSDT,BREAKOUT_ATTEMPT,2021,109.0,TARGET,29.205165000000036
FIXEDTP_FIXED7_TP20_CAP30D,FIXED_TP,EB1:SOLUSDT:2021-08-10T12:00:00+00:00,SOLUSDT,BREAKOUT_ATTEMPT,2021,124.0,TARGET,59.160180000000054
TIME_STRUCT_CAP10_CAP7D,TIME_ONLY,EB1:SOLUSDT:2021-08-10T12:00:00+00:00,SOLUSDT,BREAKOUT_ATTEMPT,2021,7140.0,STOP,-30.70486499999999
FULL_TRAIL_FIXED7_GB30_CAP30D,FULL_TRAIL,EB1:SOLUSDT:2021-08-10T12:00:00+00:00,SOLUSDT,BREAKOUT_ATTEMPT,2021,33.0,RUNNER_STOP,-0.7498499999999773
FULL_TRAIL_FIXED7_GB40_CAP30D,FULL_TRAIL,EB1:SOLUSDT:2021-08-10T12:00:00+00:00,SOLUSDT,BREAKOUT_ATTEMPT,2021,33.0,RUNNER_STOP,-0.7498499999999773
HALF_TP_RUNNER_FIXED7_PT10_GB40_CAP30D,HALF_TP_RUNNER,EB1:SOLUSDT:2021-08-10T12:00:00+00:00,SOLUSDT,BREAKOUT_ATTEMPT,2021,175.0,RUNNER_STOP,87.21984388370505
HALF_TP_RUNNER_FIXED7_PT20_GB40_CAP30D,HALF_TP_RUNNER,EB1:SOLUSDT:2021-08-10T12:00:00+00:00,SOLUSDT,BREAKOUT_ATTEMPT,2021,175.0,RUNNER_STOP,102.19735138370505
FULL_TRAIL_FIXED7_GB60_CAP30D,FULL_TRAIL,EB1:SOLUSDT:2021-08-10T12:00:00+00:00,SOLUSDT,BREAKOUT_ATTEMPT,2021,33.0,RUNNER_STOP,-0.7498499999999773
HALF_TP_RUNNER_FIXED7_PT10_GB60_CAP365D,HALF_TP_RUNNER,EB1:SOLUSDT:2021-08-10T12:00:00+00:00,SOLUSDT,BREAKOUT_ATTEMPT,2021,3922.0,RUNNER_STOP,329.77807090917605
HALF_TP_RUNNER_FIXED7_PT20_GB60_CAP365D,HALF_TP_RUNNER,EB1:SOLUSDT:2021-08-10T12:00:00+00:00,SOLUSDT,BREAKOUT_ATTEMPT,2021,3922.0,RUNNER_STOP,344.75557840917605
FULL_TRAIL_STRUCT_CAP10_GB60_CAP365D,FULL_TRAIL,EB1:SOLUSDT:2021-08-10T12:00:00+00:00,SOLUSDT,BREAKOUT_ATTEMPT,2021,33.0,RUNNER_STOP,-0.7498499999999773
TIME_FIXED5_CAP7D,TIME_ONLY,EB1:SOLUSDT:2021-12-23T20:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,115.0,STOP,-15.727357499999984
FIXEDTP_FIXED5_TP10_CAP7D,FIXED_TP,EB1:SOLUSDT:2021-12-23T20:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,115.0,STOP,-15.727357499999984
FIXEDTP_FIXED5_TP20_CAP7D,FIXED_TP,EB1:SOLUSDT:2021-12-23T20:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,115.0,STOP,-15.727357499999984
TIME_FIXED7_CAP7D,TIME_ONLY,EB1:SOLUSDT:2021-12-23T20:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,116.0,STOP,-21.7183605
FIXEDTP_FIXED7_TP10_CAP7D,FIXED_TP,EB1:SOLUSDT:2021-12-23T20:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,116.0,STOP,-21.7183605
FIXEDTP_FIXED7_TP20_CAP7D,FIXED_TP,EB1:SOLUSDT:2021-12-23T20:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,116.0,STOP,-21.7183605
TIME_FIXED7_CAP30D,TIME_ONLY,EB1:SOLUSDT:2021-12-23T20:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,116.0,STOP,-21.7183605
FIXEDTP_FIXED7_TP10_CAP30D,FIXED_TP,EB1:SOLUSDT:2021-12-23T20:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,116.0,STOP,-21.7183605
FIXEDTP_FIXED7_TP20_CAP30D,FIXED_TP,EB1:SOLUSDT:2021-12-23T20:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,116.0,STOP,-21.7183605
TIME_STRUCT_CAP10_CAP7D,TIME_ONLY,EB1:SOLUSDT:2021-12-23T20:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,135.0,STOP,-30.70486499999999
FULL_TRAIL_FIXED7_GB30_CAP30D,FULL_TRAIL,EB1:SOLUSDT:2021-12-23T20:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,100.0,RUNNER_STOP,-0.7498499999999773
FULL_TRAIL_FIXED7_GB40_CAP30D,FULL_TRAIL,EB1:SOLUSDT:2021-12-23T20:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,100.0,RUNNER_STOP,-0.7498499999999773
HALF_TP_RUNNER_FIXED7_PT10_GB40_CAP30D,HALF_TP_RUNNER,EB1:SOLUSDT:2021-12-23T20:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,116.0,INITIAL_STOP,-21.7183605
HALF_TP_RUNNER_FIXED7_PT20_GB40_CAP30D,HALF_TP_RUNNER,EB1:SOLUSDT:2021-12-23T20:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,116.0,INITIAL_STOP,-21.7183605
FULL_TRAIL_FIXED7_GB60_CAP30D,FULL_TRAIL,EB1:SOLUSDT:2021-12-23T20:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,100.0,RUNNER_STOP,-0.7498499999999773
HALF_TP_RUNNER_FIXED7_PT10_GB60_CAP365D,HALF_TP_RUNNER,EB1:SOLUSDT:2021-12-23T20:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,116.0,INITIAL_STOP,-21.7183605
HALF_TP_RUNNER_FIXED7_PT20_GB60_CAP365D,HALF_TP_RUNNER,EB1:SOLUSDT:2021-12-23T20:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,116.0,INITIAL_STOP,-21.7183605
FULL_TRAIL_STRUCT_CAP10_GB60_CAP365D,FULL_TRAIL,EB1:SOLUSDT:2021-12-23T20:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,100.0,RUNNER_STOP,-0.7498499999999773
TIME_FIXED5_CAP7D,TIME_ONLY,EB1:SOLUSDT:2022-01-12T22:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2022,25.0,STOP,-15.727357499999984
FIXEDTP_FIXED5_TP10_CAP7D,FIXED_TP,EB1:SOLUSDT:2022-01-12T22:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2022,25.0,STOP,-15.727357499999984
FIXEDTP_FIXED5_TP20_CAP7D,FIXED_TP,EB1:SOLUSDT:2022-01-12T22:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2022,25.0,STOP,-15.727357499999984
TIME_FIXED7_CAP7D,TIME_ONLY,EB1:SOLUSDT:2022-01-12T22:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2022,109.0,STOP,-21.7183605
FIXEDTP_FIXED7_TP10_CAP7D,FIXED_TP,EB1:SOLUSDT:2022-01-12T22:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2022,109.0,STOP,-21.7183605
FIXEDTP_FIXED7_TP20_CAP7D,FIXED_TP,EB1:SOLUSDT:2022-01-12T22:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2022,109.0,STOP,-21.7183605
TIME_FIXED7_CAP30D,TIME_ONLY,EB1:SOLUSDT:2022-01-12T22:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2022,109.0,STOP,-21.7183605
FIXEDTP_FIXED7_TP10_CAP30D,FIXED_TP,EB1:SOLUSDT:2022-01-12T22:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2022,109.0,STOP,-21.7183605
FIXEDTP_FIXED7_TP20_CAP30D,FIXED_TP,EB1:SOLUSDT:2022-01-12T22:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2022,109.0,STOP,-21.7183605
TIME_STRUCT_CAP10_CAP7D,TIME_ONLY,EB1:SOLUSDT:2022-01-12T22:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2022,130.0,STOP,-30.70486499999999
FULL_TRAIL_FIXED7_GB30_CAP30D,FULL_TRAIL,EB1:SOLUSDT:2022-01-12T22:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2022,109.0,INITIAL_STOP,-21.7183605
FULL_TRAIL_FIXED7_GB40_CAP30D,FULL_TRAIL,EB1:SOLUSDT:2022-01-12T22:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2022,109.0,INITIAL_STOP,-21.7183605
HALF_TP_RUNNER_FIXED7_PT10_GB40_CAP30D,HALF_TP_RUNNER,EB1:SOLUSDT:2022-01-12T22:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2022,109.0,INITIAL_STOP,-21.7183605
HALF_TP_RUNNER_FIXED7_PT20_GB40_CAP30D,HALF_TP_RUNNER,EB1:SOLUSDT:2022-01-12T22:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2022,109.0,INITIAL_STOP,-21.7183605
FULL_TRAIL_FIXED7_GB60_CAP30D,FULL_TRAIL,EB1:SOLUSDT:2022-01-12T22:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2022,109.0,INITIAL_STOP,-21.7183605
HALF_TP_RUNNER_FIXED7_PT10_GB60_CAP365D,HALF_TP_RUNNER,EB1:SOLUSDT:2022-01-12T22:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2022,109.0,INITIAL_STOP,-21.7183605
HALF_TP_RUNNER_FIXED7_PT20_GB60_CAP365D,HALF_TP_RUNNER,EB1:SOLUSDT:2022-01-12T22:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2022,109.0,INITIAL_STOP,-21.7183605
FULL_TRAIL_STRUCT_CAP10_GB60_CAP365D,FULL_TRAIL,EB1:SOLUSDT:2022-01-12T22:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2022,130.0,INITIAL_STOP,-30.70486499999999
TIME_FIXED5_CAP7D,TIME_ONLY,EB1:SOLUSDT:2022-03-17T04:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2022,30.0,STOP,-15.727357499999984
FIXEDTP_FIXED5_TP10_CAP7D,FIXED_TP,EB1:SOLUSDT:2022-03-17T04:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2022,30.0,STOP,-15.727357499999984
FIXEDTP_FIXED5_TP20_CAP7D,FIXED_TP,EB1:SOLUSDT:2022-03-17T04:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2022,30.0,STOP,-15.727357499999984
TIME_FIXED7_CAP7D,TIME_ONLY,EB1:SOLUSDT:2022-03-17T04:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2022,1074.0,STOP,-21.7183605
FIXEDTP_FIXED7_TP10_CAP7D,FIXED_TP,EB1:SOLUSDT:2022-03-17T04:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2022,171.0,TARGET,29.205165000000036
FIXEDTP_FIXED7_TP20_CAP7D,FIXED_TP,EB1:SOLUSDT:2022-03-17T04:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2022,258.0,TARGET,59.160180000000054
TIME_FIXED7_CAP30D,TIME_ONLY,EB1:SOLUSDT:2022-03-17T04:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2022,1074.0,STOP,-21.7183605
FIXEDTP_FIXED7_TP10_CAP30D,FIXED_TP,EB1:SOLUSDT:2022-03-17T04:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2022,171.0,TARGET,29.205165000000036
FIXEDTP_FIXED7_TP20_CAP30D,FIXED_TP,EB1:SOLUSDT:2022-03-17T04:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2022,258.0,TARGET,59.160180000000054
TIME_STRUCT_CAP10_CAP7D,TIME_ONLY,EB1:SOLUSDT:2022-03-17T04:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2022,1208.0,STOP,-30.704864999999934
FULL_TRAIL_FIXED7_GB30_CAP30D,FULL_TRAIL,EB1:SOLUSDT:2022-03-17T04:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2022,83.0,RUNNER_STOP,-0.7498499999999773
FULL_TRAIL_FIXED7_GB40_CAP30D,FULL_TRAIL,EB1:SOLUSDT:2022-03-17T04:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2022,83.0,RUNNER_STOP,-0.7498499999999773
HALF_TP_RUNNER_FIXED7_PT10_GB40_CAP30D,HALF_TP_RUNNER,EB1:SOLUSDT:2022-03-17T04:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2022,475.0,RUNNER_STOP,69.40691951212918
HALF_TP_RUNNER_FIXED7_PT20_GB40_CAP30D,HALF_TP_RUNNER,EB1:SOLUSDT:2022-03-17T04:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2022,475.0,RUNNER_STOP,84.3844270121292
FULL_TRAIL_FIXED7_GB60_CAP30D,FULL_TRAIL,EB1:SOLUSDT:2022-03-17T04:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2022,83.0,RUNNER_STOP,-0.7498499999999773
HALF_TP_RUNNER_FIXED7_PT10_GB60_CAP365D,HALF_TP_RUNNER,EB1:SOLUSDT:2022-03-17T04:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2022,545.0,RUNNER_STOP,51.01383217475278
HALF_TP_RUNNER_FIXED7_PT20_GB60_CAP365D,HALF_TP_RUNNER,EB1:SOLUSDT:2022-03-17T04:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2022,545.0,RUNNER_STOP,65.99133967475278
FULL_TRAIL_STRUCT_CAP10_GB60_CAP365D,FULL_TRAIL,EB1:SOLUSDT:2022-03-17T04:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2022,83.0,RUNNER_STOP,-0.7498499999999773
TIME_FIXED5_CAP7D,TIME_ONLY,EB1:SOLUSDT:2022-03-23T14:00:00+00:00,SOLUSDT,BREAKOUT_ATTEMPT,2022,918.0,STOP,-15.727357499999984
FIXEDTP_FIXED5_TP10_CAP7D,FIXED_TP,EB1:SOLUSDT:2022-03-23T14:00:00+00:00,SOLUSDT,BREAKOUT_ATTEMPT,2022,35.0,TARGET,29.205165000000036
FIXEDTP_FIXED5_TP20_CAP7D,FIXED_TP,EB1:SOLUSDT:2022-03-23T14:00:00+00:00,SOLUSDT,BREAKOUT_ATTEMPT,2022,119.0,TARGET,59.16018
TIME_FIXED7_CAP7D,TIME_ONLY,EB1:SOLUSDT:2022-03-23T14:00:00+00:00,SOLUSDT,BREAKOUT_ATTEMPT,2022,919.0,STOP,-21.718360500000056
